date,county,state,fips,cases,deaths
2020-07-07,Fond du Lac,Wisconsin,55039.0,339,6.0
2020-06-26,Bucks,Pennsylvania,42017.0,5676,561.0
2020-05-09,Pickens,South Carolina,45077.0,68,1.0
2020-05-15,Phelps,Nebraska,31137.0,13,0.0
2020-11-04,Mackinac,Michigan,26097.0,182,0.0
2020-10-26,Winston,Mississippi,28159.0,844,21.0
2020-09-13,Kanabec,Minnesota,27065.0,85,8.0
2020-11-07,Muscogee,Georgia,13215.0,6776,181.0
2020-03-28,Henderson,North Carolina,37089.0,9,0.0
2020-04-25,Burlington,New Jersey,34005.0,2153,88.0
2020-08-31,Chariton,Missouri,29041.0,28,0.0
2020-07-01,Miami,Ohio,39109.0,442,31.0
2020-10-06,Panola,Mississippi,28107.0,1558,32.0
2020-06-29,Fayette,West Virginia,54019.0,66,4.0
2020-12-30,Knox,Maine,23013.0,361,4.0
2020-08-02,Grayson,Kentucky,21085.0,179,11.0
2020-10-03,Foster,North Dakota,38031.0,71,1.0
2020-05-21,Hemphill,Texas,48211.0,1,0.0
2020-10-01,Loudoun,Virginia,51107.0,6887,126.0
2020-12-19,Decatur,Tennessee,47039.0,1203,17.0
2020-03-25,Montgomery,Texas,48339.0,23,0.0
2020-06-09,San Saba,Texas,48411.0,1,0.0
2020-04-25,Muskingum,Ohio,39119.0,11,0.0
2020-05-21,Lenawee,Michigan,26091.0,858,6.0
2020-05-22,Osage,Oklahoma,40113.0,93,8.0
2020-09-03,Kay,Oklahoma,40071.0,340,12.0
2020-08-31,Brooks,Texas,48047.0,215,16.0
2020-11-01,Ware,Georgia,13299.0,2330,65.0
2020-10-29,Cheyenne,Colorado,8017.0,15,0.0
2020-09-01,Putnam,Georgia,13237.0,616,20.0
2020-08-01,Kansas City,Missouri,,5865,69.0
2020-06-19,Berkeley,South Carolina,45015.0,515,20.0
2020-09-05,Huerfano,Colorado,8055.0,9,1.0
2020-06-17,Patrick,Virginia,51141.0,33,0.0
2020-05-05,Bryan,Georgia,13029.0,56,4.0
2020-03-24,Montcalm,Michigan,26117.0,1,0.0
2020-09-06,St. James,Louisiana,22093.0,768,37.0
2020-12-05,Williamsburg city,Virginia,51830.0,300,8.0
2020-11-09,Northwest Arctic Borough,Alaska,2188.0,287,0.0
2020-08-06,Rio Grande,Puerto Rico,72119.0,266,
2020-08-04,Perquimans,North Carolina,37143.0,73,2.0
2020-04-08,Owen,Indiana,18119.0,17,0.0
2020-10-19,Clinton,Michigan,26037.0,906,14.0
2020-07-31,Martinsville city,Virginia,51690.0,159,3.0
2020-06-19,New Castle,Delaware,10003.0,4522,196.0
2020-09-21,York,South Carolina,45091.0,5123,66.0
2020-10-28,Decatur,Tennessee,47039.0,674,11.0
2020-09-09,Story,Iowa,19169.0,2992,16.0
2020-07-04,Anne Arundel,Maryland,24003.0,5247,209.0
2020-12-02,Unknown,Tennessee,,641,0.0
2020-11-21,Davidson,North Carolina,37057.0,4794,49.0
2020-08-15,Campbell,South Dakota,46021.0,3,0.0
2020-10-31,McNairy,Tennessee,47109.0,1170,30.0
2020-12-16,Rockingham,New Hampshire,33015.0,8332,122.0
2020-11-17,Morrow,Ohio,39117.0,701,2.0
2020-04-03,Luzerne,Pennsylvania,42079.0,484,5.0
2020-11-07,Putnam,Ohio,39137.0,1641,32.0
2020-12-05,Buffalo,Nebraska,31019.0,3825,41.0
2020-10-06,Mahoning,Ohio,39099.0,3271,282.0
2020-03-30,Monroe,New York,36055.0,242,6.0
2020-09-28,McMinn,Tennessee,47107.0,1150,25.0
2020-08-09,Lauderdale,Tennessee,47097.0,508,8.0
2020-08-10,Pushmataha,Oklahoma,40127.0,108,0.0
2020-12-29,Lee,North Carolina,37105.0,3414,39.0
2020-04-29,San Francisco,California,6075.0,1490,23.0
2020-05-28,Morgan,Missouri,29141.0,9,0.0
2020-05-05,Johnson,Iowa,19103.0,518,6.0
2020-12-13,Anne Arundel,Maryland,24003.0,20184,311.0
2020-06-04,McDowell,North Carolina,37111.0,77,1.0
2020-06-04,Caldwell,Missouri,29025.0,6,0.0
2020-08-04,Deer Lodge,Montana,30023.0,22,0.0
2020-04-15,Escambia,Alabama,1053.0,11,0.0
2020-11-07,Lincoln,Georgia,13181.0,270,9.0
2020-10-24,Richardson,Nebraska,31147.0,95,2.0
2020-09-30,Otter Tail,Minnesota,27111.0,473,4.0
2020-11-13,Inyo,California,6027.0,255,15.0
2020-12-11,Phillips,Arkansas,5107.0,1047,17.0
2020-07-16,Tazewell,Virginia,51185.0,35,0.0
2020-12-25,Genesee,Michigan,26049.0,20798,557.0
2020-07-22,Chatham,North Carolina,37037.0,1124,47.0
2020-04-02,Tioga,Pennsylvania,42117.0,2,0.0
2020-05-10,Cabo Rojo,Puerto Rico,72023.0,22,
2020-12-06,Butler,Pennsylvania,42019.0,5368,92.0
2020-08-14,Sampson,North Carolina,37163.0,1504,18.0
2020-05-28,St. Francis,Arkansas,5123.0,660,1.0
2020-09-23,Lyon,Iowa,19119.0,280,4.0
2020-11-09,Crowley,Colorado,8025.0,208,1.0
2020-09-18,Garvin,Oklahoma,40049.0,327,4.0
2020-11-06,Greenwood,South Carolina,45047.0,2654,77.0
2020-10-19,Edwards,Texas,48137.0,66,2.0
2020-04-04,Bedford,Tennessee,47003.0,8,0.0
2020-10-26,Kittson,Minnesota,27069.0,42,0.0
2020-11-26,Coweta,Georgia,13077.0,5193,72.0
2020-04-01,Van Zandt,Texas,48467.0,2,1.0
2020-09-30,Cumberland,New Jersey,34011.0,3811,160.0
2020-06-16,Osage,Oklahoma,40113.0,114,8.0
2020-04-03,Platte,Missouri,29165.0,13,0.0
2020-09-20,Charleston,South Carolina,45019.0,15489,256.0
2020-08-03,Grundy,Missouri,29079.0,24,1.0
2020-11-12,Macon,Georgia,13193.0,304,14.0
2020-11-15,Adams,Ohio,39001.0,510,7.0
2020-04-16,Wilkinson,Georgia,13319.0,18,1.0
2020-09-17,Menard,Illinois,17129.0,111,0.0
2020-12-02,Lucas,Iowa,19117.0,337,6.0
2020-05-28,Madison,Mississippi,28089.0,694,22.0
2020-04-06,Crawford,Wisconsin,55023.0,2,0.0
2020-04-07,Iron,Wisconsin,55051.0,1,1.0
2020-06-06,Oceana,Michigan,26127.0,102,2.0
2020-10-02,Bureau,Illinois,17011.0,703,13.0
2020-10-05,Henry,Kentucky,21103.0,205,2.0
2020-10-14,Stevens,Kansas,20189.0,194,1.0
2020-06-29,Aitkin,Minnesota,27001.0,13,0.0
2020-05-29,Oneida,Wisconsin,55085.0,9,0.0
2020-09-19,Runnels,Texas,48399.0,244,5.0
2020-09-25,Montgomery,Missouri,29139.0,83,1.0
2020-06-06,Petersburg city,Virginia,51730.0,163,3.0
2020-10-22,Hanson,South Dakota,46061.0,72,1.0
2020-03-19,Jackson,Michigan,26075.0,1,0.0
2020-07-02,Clay,Alabama,1027.0,61,2.0
2020-04-16,Tioga,New York,36107.0,27,0.0
2020-07-04,Lee,Texas,48287.0,72,3.0
2020-07-01,Fulton,Kentucky,21075.0,23,0.0
2020-03-30,Kershaw,South Carolina,45055.0,99,2.0
2020-10-25,Poquoson city,Virginia,51735.0,97,2.0
2020-10-07,Jennings,Indiana,18079.0,335,15.0
2020-07-03,Hutchinson,South Dakota,46067.0,13,0.0
2020-04-08,Utah,Utah,49049.0,267,0.0
2020-10-05,Douglas,Washington,53017.0,1319,10.0
2020-11-21,Wibaux,Montana,30109.0,73,1.0
2020-11-06,Davidson,Tennessee,47037.0,36303,362.0
2020-05-01,Randolph,Arkansas,5121.0,18,0.0
2020-04-22,Pratt,Kansas,20151.0,1,0.0
2020-08-16,Johnson,Missouri,29101.0,513,3.0
2020-05-05,Suffolk,New York,36103.0,35275,1347.0
2020-04-26,Williamsburg city,Virginia,51830.0,15,1.0
2020-12-24,Santa Cruz,California,6087.0,7637,76.0
2020-12-13,Crawford,Arkansas,5033.0,3678,47.0
2020-06-10,Washoe,Nevada,32031.0,1832,67.0
2020-12-02,Kingsbury,South Dakota,46077.0,450,11.0
2020-09-27,Bay,Michigan,26017.0,1006,50.0
2020-06-14,Clay,Indiana,18021.0,56,3.0
2020-10-10,Whitfield,Georgia,13313.0,4868,62.0
2020-06-23,Ventura,California,6111.0,2161,43.0
2020-04-13,Baldwin,Alabama,1003.0,78,1.0
2020-05-21,Dodge,Wisconsin,55027.0,121,1.0
2020-07-01,Warren,Mississippi,28149.0,443,17.0
2020-10-25,Jefferson,Idaho,16051.0,958,3.0
2020-05-16,Dinwiddie,Virginia,51053.0,36,0.0
2020-10-05,Wilson,Kansas,20205.0,69,2.0
2020-12-09,Franklin,Pennsylvania,42055.0,5899,149.0
2020-07-29,Logan,Kentucky,21141.0,302,22.0
2020-08-11,Arapahoe,Colorado,8005.0,7377,362.0
2020-12-28,Lawrence,Kentucky,21127.0,690,4.0
2020-12-16,Gloucester,New Jersey,34015.0,11906,333.0
2020-12-31,Clarke,Iowa,19039.0,687,6.0
2020-04-20,Gladwin,Michigan,26051.0,9,1.0
2020-06-22,Carter,Missouri,29035.0,6,1.0
2020-08-20,Douglas,Nebraska,31055.0,12435,148.0
2020-04-28,Morgan,Missouri,29141.0,3,0.0
2020-07-28,Madison,Arkansas,5087.0,246,1.0
2020-12-12,Aitkin,Minnesota,27001.0,894,31.0
2020-08-12,Androscoggin,Maine,23001.0,568,8.0
2020-10-02,Pitkin,Colorado,8097.0,227,2.0
2020-10-27,Cobb,Georgia,13067.0,23780,454.0
2020-12-28,Choctaw,Mississippi,28019.0,492,10.0
2020-09-01,Nevada,Arkansas,5099.0,162,12.0
2020-11-26,Redwood,Minnesota,27127.0,837,18.0
2020-08-24,Monroe,Pennsylvania,42089.0,1694,127.0
2020-03-29,Cumberland,Pennsylvania,42041.0,22,1.0
2020-10-29,Sussex,Delaware,10005.0,7968,228.0
2020-04-13,Columbia,Oregon,41009.0,12,0.0
2020-12-10,Tazewell,Virginia,51185.0,1364,8.0
2020-09-14,Fairfield,South Carolina,45039.0,716,32.0
2020-11-15,Tulsa,Oklahoma,40143.0,27046,235.0
