"date","county","state","fips","cases","deaths"
"2020-07-07","Fond du Lac","Wisconsin","55039","339","6"
"2020-06-26","Bucks","Pennsylvania","42017","5676","561"
"2020-05-09","Pickens","South Carolina","45077","68","1"
"2020-05-15","Phelps","Nebraska","31137","13","0"
"2020-11-04","Mackinac","Michigan","26097","182","0"
"2020-10-26","Winston","Mississippi","28159","844","21"
"2020-09-13","Kanabec","Minnesota","27065","85","8"
"2020-11-07","Muscogee","Georgia","13215","6776","181"
"2020-03-28","Henderson","North Carolina","37089","9","0"
"2020-04-25","Burlington","New Jersey","34005","2153","88"
"2020-08-31","Chariton","Missouri","29041","28","0"
"2020-07-01","Miami","Ohio","39109","442","31"
"2020-10-06","Panola","Mississippi","28107","1558","32"
"2020-06-29","Fayette","West Virginia","54019","66","4"
"2020-12-30","Knox","Maine","23013","361","4"
"2020-08-02","Grayson","Kentucky","21085","179","11"
"2020-10-03","Foster","North Dakota","38031","71","1"
"2020-05-21","Hemphill","Texas","48211","1","0"
"2020-10-01","Loudoun","Virginia","51107","6887","126"
"2020-12-19","Decatur","Tennessee","47039","1203","17"
"2020-03-25","Montgomery","Texas","48339","23","0"
"2020-06-09","San Saba","Texas","48411","1","0"
"2020-04-25","Muskingum","Ohio","39119","11","0"
"2020-05-21","Lenawee","Michigan","26091","858","6"
"2020-05-22","Osage","Oklahoma","40113","93","8"
"2020-09-03","Kay","Oklahoma","40071","340","12"
"2020-08-31","Brooks","Texas","48047","215","16"
"2020-11-01","Ware","Georgia","13299","2330","65"
"2020-10-29","Cheyenne","Colorado","8017","15","0"
"2020-09-01","Putnam","Georgia","13237","616","20"
"2020-08-01","Kansas City","Missouri",,"5865","69"
"2020-06-19","Berkeley","South Carolina","45015","515","20"
"2020-09-05","Huerfano","Colorado","8055","9","1"
"2020-06-17","Patrick","Virginia","51141","33","0"
"2020-05-05","Bryan","Georgia","13029","56","4"
"2020-03-24","Montcalm","Michigan","26117","1","0"
"2020-09-06","St. James","Louisiana","22093","768","37"
"2020-12-05","Williamsburg city","Virginia","51830","300","8"
"2020-11-09","Northwest Arctic Borough","Alaska","2188","287","0"
"2020-08-06","Rio Grande","Puerto Rico","72119","266",
"2020-08-04","Perquimans","North Carolina","37143","73","2"
"2020-04-08","Owen","Indiana","18119","17","0"
"2020-10-19","Clinton","Michigan","26037","906","14"
"2020-07-31","Martinsville city","Virginia","51690","159","3"
"2020-06-19","New Castle","Delaware","10003","4522","196"
"2020-09-21","York","South Carolina","45091","5123","66"
"2020-10-28","Decatur","Tennessee","47039","674","11"
"2020-09-09","Story","Iowa","19169","2992","16"
"2020-07-04","Anne Arundel","Maryland","24003","5247","209"
"2020-12-02","Unknown","Tennessee",,"641","0"
"2020-11-21","Davidson","North Carolina","37057","4794","49"
"2020-08-15","Campbell","South Dakota","46021","3","0"
"2020-10-31","McNairy","Tennessee","47109","1170","30"
"2020-12-16","Rockingham","New Hampshire","33015","8332","122"
"2020-11-17","Morrow","Ohio","39117","701","2"
"2020-04-03","Luzerne","Pennsylvania","42079","484","5"
"2020-11-07","Putnam","Ohio","39137","1641","32"
"2020-12-05","Buffalo","Nebraska","31019","3825","41"
"2020-10-06","Mahoning","Ohio","39099","3271","282"
"2020-03-30","Monroe","New York","36055","242","6"
"2020-09-28","McMinn","Tennessee","47107","1150","25"
"2020-08-09","Lauderdale","Tennessee","47097","508","8"
"2020-08-10","Pushmataha","Oklahoma","40127","108","0"
"2020-12-29","Lee","North Carolina","37105","3414","39"
"2020-04-29","San Francisco","California","6075","1490","23"
"2020-05-28","Morgan","Missouri","29141","9","0"
"2020-05-05","Johnson","Iowa","19103","518","6"
"2020-12-13","Anne Arundel","Maryland","24003","20184","311"
"2020-06-04","McDowell","North Carolina","37111","77","1"
"2020-06-04","Caldwell","Missouri","29025","6","0"
"2020-08-04","Deer Lodge","Montana","30023","22","0"
"2020-04-15","Escambia","Alabama","1053","11","0"
"2020-11-07","Lincoln","Georgia","13181","270","9"
"2020-10-24","Richardson","Nebraska","31147","95","2"
"2020-09-30","Otter Tail","Minnesota","27111","473","4"
"2020-11-13","Inyo","California","6027","255","15"
"2020-12-11","Phillips","Arkansas","5107","1047","17"
"2020-07-16","Tazewell","Virginia","51185","35","0"
"2020-12-25","Genesee","Michigan","26049","20798","557"
"2020-07-22","Chatham","North Carolina","37037","1124","47"
"2020-04-02","Tioga","Pennsylvania","42117","2","0"
"2020-05-10","Cabo Rojo","Puerto Rico","72023","22",
"2020-12-06","Butler","Pennsylvania","42019","5368","92"
"2020-08-14","Sampson","North Carolina","37163","1504","18"
"2020-05-28","St. Francis","Arkansas","5123","660","1"
"2020-09-23","Lyon","Iowa","19119","280","4"
"2020-11-09","Crowley","Colorado","8025","208","1"
"2020-09-18","Garvin","Oklahoma","40049","327","4"
"2020-11-06","Greenwood","South Carolina","45047","2654","77"
"2020-10-19","Edwards","Texas","48137","66","2"
"2020-04-04","Bedford","Tennessee","47003","8","0"
"2020-10-26","Kittson","Minnesota","27069","42","0"
"2020-11-26","Coweta","Georgia","13077","5193","72"
"2020-04-01","Van Zandt","Texas","48467","2","1"
"2020-09-30","Cumberland","New Jersey","34011","3811","160"
"2020-06-16","Osage","Oklahoma","40113","114","8"
"2020-04-03","Platte","Missouri","29165","13","0"
"2020-09-20","Charleston","South Carolina","45019","15489","256"
"2020-08-03","Grundy","Missouri","29079","24","1"
"2020-11-12","Macon","Georgia","13193","304","14"
"2020-11-15","Adams","Ohio","39001","510","7"
"2020-04-16","Wilkinson","Georgia","13319","18","1"
"2020-09-17","Menard","Illinois","17129","111","0"
"2020-12-02","Lucas","Iowa","19117","337","6"
"2020-05-28","Madison","Mississippi","28089","694","22"
"2020-04-06","Crawford","Wisconsin","55023","2","0"
"2020-04-07","Iron","Wisconsin","55051","1","1"
"2020-06-06","Oceana","Michigan","26127","102","2"
"2020-10-02","Bureau","Illinois","17011","703","13"
"2020-10-05","Henry","Kentucky","21103","205","2"
"2020-10-14","Stevens","Kansas","20189","194","1"
"2020-06-29","Aitkin","Minnesota","27001","13","0"
"2020-05-29","Oneida","Wisconsin","55085","9","0"
"2020-09-19","Runnels","Texas","48399","244","5"
"2020-09-25","Montgomery","Missouri","29139","83","1"
"2020-06-06","Petersburg city","Virginia","51730","163","3"
"2020-10-22","Hanson","South Dakota","46061","72","1"
"2020-03-19","Jackson","Michigan","26075","1","0"
"2020-07-02","Clay","Alabama","1027","61","2"
"2020-04-16","Tioga","New York","36107","27","0"
"2020-07-04","Lee","Texas","48287","72","3"
"2020-07-01","Fulton","Kentucky","21075","23","0"
"2020-03-30","Kershaw","South Carolina","45055","99","2"
"2020-10-25","Poquoson city","Virginia","51735","97","2"
"2020-10-07","Jennings","Indiana","18079","335","15"
"2020-07-03","Hutchinson","South Dakota","46067","13","0"
"2020-04-08","Utah","Utah","49049","267","0"
"2020-10-05","Douglas","Washington","53017","1319","10"
"2020-11-21","Wibaux","Montana","30109","73","1"
"2020-11-06","Davidson","Tennessee","47037","36303","362"
"2020-05-01","Randolph","Arkansas","5121","18","0"
"2020-04-22","Pratt","Kansas","20151","1","0"
"2020-08-16","Johnson","Missouri","29101","513","3"
"2020-05-05","Suffolk","New York","36103","35275","1347"
"2020-04-26","Williamsburg city","Virginia","51830","15","1"
